,Spl-Tis Abay I,Spl-Fincha,Trns-Blue Nile River 2,Spl-Grand Renaissance Dam,Spl-Tekeze,Spl-Gibgel Gibe I,Spl-Gibgel Gibe II,Spl-Gibgel Gibe III,Spl-Koka,Spl-Awash II,Spl-Melka Wakena,Spl-Genaledawa III,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
7406,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0731946128,-0.0,-0.0,-0.0,-0.0,0.106,0.0132,0.08635,-0.0,0.073283,-0.0,0.1214446128,0.027149999999999994,0.0151,0.26425000000000004,-0.0,-0.0,-0.0
7407,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.062,-0.0,-0.0,-0.0,-0.0,0.092,0.014,0.093,-0.0,0.062,-0.0,0.11499999999999999,0.10738,0.014,0.286,0.008657,-0.0,0.01438
7408,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.048,-0.0,-0.0,-0.0,-0.0,0.098,0.01,0.097,-0.0,0.048,-0.0,0.091,0.11800000000000001,0.01,0.293,0.015,-0.0,0.021
7409,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.041,-0.0,-0.0,-0.0,-0.0,0.122,0.009,0.156,-0.0,0.041,-0.0,0.08,0.181,0.009,0.297,0.018,-0.0,0.025
7410,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0448053872,-0.0,-0.0,-0.0,-0.0,0.118,0.013800000000000002,0.23965,-0.0,0.044717,-0.0,0.09955538719999998,0.35147,0.0119,0.31174999999999997,0.023343,-0.0,0.05262
7411,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0431946128,-0.0,-0.0,-0.0,-0.0,0.118,0.010199999999999999,0.34635,-0.0,0.043282999999999995,-0.0,0.0774446128,0.31953000000000004,0.0121,0.33225000000000005,0.015657,-0.0,0.03238
7412,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0368053872,-0.0,-0.0,-0.0,-0.0,0.149,0.0168,0.44065,-0.0,0.036717,-0.0,0.0885553872,0.6034700000000001,0.0149,0.36274999999999996,0.029343,-0.0,0.10362
7413,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.042,-0.0,-0.0,-0.0,-0.0,0.177,0.01,0.478,-0.0,0.042,-0.0,0.07200000000000001,0.613,0.01,0.418,0.024,-0.0,0.135
7414,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06519461280000001,-0.0,-0.0,-0.0,-0.0,0.176,0.007199999999999999,0.51735,-0.0,0.06528300000000001,-0.0,0.0764446128,0.6385299999999999,0.009099999999999999,0.38425000000000004,0.034657,-0.0,0.18038
7415,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0668053872,-0.0,-0.0,-0.0,-0.0,0.157,0.0368,0.58665,-0.0,0.066717,-0.0,0.10755538719999999,0.84247,0.0349,0.34774999999999995,0.066343,-0.0,0.19662
7416,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0511946128,-0.0,-0.0,-0.0,-0.0,0.106,0.045200000000000004,0.80835,-0.0,0.051282999999999995,-0.0,0.0814446128,0.81853,0.0471,0.27925000000000005,0.026657,-0.0,0.06938
7417,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0458053872,-0.0,-0.0,-0.0,-0.0,0.11,0.0288,1.01365,-0.0,0.045717,-0.0,0.09555538720000001,1.1414699999999998,0.0269,0.20475,0.021343,-0.0,0.06862
7418,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.035,-0.0,-0.0,-0.0,-0.0,0.146,0.015,0.898,-0.0,0.035,-0.0,0.063,0.9053800000000001,0.015,0.164,0.0016570000000000005,-0.0,0.007380000000000001
7419,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0241946128,-0.0,-0.0,-0.0,-0.0,0.191,0.004200000000000001,0.51235,-0.0,0.024283000000000002,-0.0,0.025444612800000002,0.45314999999999994,0.0061,0.13625,-0.0,-0.0,-0.0
7420,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0198053872,-0.0,-0.0,-0.0,-0.0,0.178,0.0108,0.19965000000000002,-0.0,0.019717,-0.0,0.0395553872,0.28147,0.0089,0.12075,0.006343,-0.0,0.022619999999999998
7421,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.013,-0.0,-0.0,-0.0,-0.0,0.141,0.007,0.087,-0.0,0.013,-0.0,0.02,0.087,0.007,0.132,-0.0,-0.0,-0.0
7422,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.010194612799999999,-0.0,-0.0,-0.0,-0.0,0.148,0.0062,0.01435,-0.0,0.010282999999999999,-0.0,0.006444612799999999,-0.0,0.0081,0.16825,-0.0,-0.0,-0.0
7423,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.009,-0.0,-0.0,-0.0,-0.0,0.177,0.017,0.002,-0.0,0.009,-0.0,0.016,-0.0,0.017,0.241,-0.0,-0.0,-0.0
7424,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0078053872,-0.0,-0.0,-0.0,-0.0,0.228,0.0208,0.00165,-0.0,0.007717,-0.0,0.0255553872,0.0011499999999999913,0.0189,0.30074999999999996,-0.0,-0.0,-0.0
7425,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004194612800000001,-0.0,-0.0,-0.0,-0.0,0.291,0.011199999999999998,-0.0,-0.0,0.004283,-0.0,0.0,-0.0,0.013099999999999999,0.32325000000000004,-0.0,-0.0,-0.0
7426,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0058053872,-0.0,-0.0,-0.0,-0.0,0.348,0.021799999999999996,0.003,-0.0,0.005717,-0.0,0.023,-0.0,0.019899999999999998,0.35274999999999995,-0.0,-0.0,-0.0
7427,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.394,0.029,0.013,-0.0,0.01,-0.0,0.027999999999999997,-0.0,0.029,0.416,-0.0,-0.0,-0.0
7428,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0211946128,-0.0,-0.0,-0.0,-0.0,0.422,0.0482,0.02635,-0.0,0.021283,-0.0,0.0414446128,-0.0,0.0501,0.45625000000000004,-0.0,-0.0,-0.0
7429,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0328053872,-0.0,-0.0,-0.0,-0.0,0.426,0.08979999999999999,0.05065,-0.0,0.032717,-0.0,0.0925553872,0.11485000000000001,0.08789999999999999,0.48074999999999996,-0.0,-0.0,0.005
7430,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.036,-0.0,-0.0,-0.0,-0.0,0.422,0.113,0.072,-0.0,0.036,-0.0,0.08499999999999999,0.076,0.113,0.478,0.001,-0.0,0.004
7431,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0301946128,-0.0,-0.0,-0.0,-0.0,0.439,0.1362,0.08035,-0.0,0.030283,-0.0,0.060444612800000005,0.021150000000000002,0.1381,0.46825,-0.0,-0.0,-0.0
7432,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.028,-0.0,-0.0,-0.0,-0.0,0.45,0.192,0.105,-0.0,0.028,-0.0,0.067,0.105,0.192,0.469,-0.0,-0.0,-0.0
7433,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0388053872,-0.0,-0.0,-0.0,-0.0,0.473,0.2518,0.15465,-0.0,0.038717,-0.0,0.0925553872,0.23985,0.2499,0.45475,0.013000000000000001,-0.0,0.026000000000000002
7434,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0551946128,-0.0,-0.0,-0.0,-0.0,0.513,0.24919999999999998,0.21835,-0.0,0.055283,-0.0,0.0904446128,0.16052999999999998,0.2511,0.40525000000000005,0.013656999999999999,-0.0,0.0013800000000000028
7435,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1008053872,-0.0,-0.0,-0.0,-0.0,0.593,0.22980000000000003,0.29964999999999997,-0.0,0.100717,-0.0,0.1735553872,0.40947,0.22790000000000002,0.31975,0.033343,-0.0,0.05062
7436,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1611946128,-0.0,-0.0,-0.0,-0.0,0.726,0.17119999999999996,0.40135000000000004,-0.0,0.161283,-0.0,0.2244446128,0.35653000000000007,0.17309999999999998,0.24725,0.023657,-0.0,0.014380000000000004
7437,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.252,-0.0,-0.0,-0.0,-0.0,0.944,0.145,0.467,-0.0,0.252,-0.0,0.34099999999999997,0.49500000000000005,0.145,0.192,0.023,-0.0,0.028
7438,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.40580538720000003,-0.0,-0.0,-0.0,-0.0,1.289,0.12780000000000002,0.41464999999999996,-0.0,0.40571700000000005,-0.0,0.5405553872000001,0.51285,0.1259,0.15875,0.023343,-0.0,0.039
7439,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6091946128,-0.0,-0.0,-0.0,-0.0,1.693,0.1102,0.26135,-0.0,0.609283,-0.0,0.7824446128,0.20215000000000002,0.1121,0.15125,0.006657000000000001,-0.0,-0.0
7440,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5938053872,-0.0,-0.0,-0.0,-0.0,1.84,0.1178,0.15065,-0.0,0.5937169999999999,-0.0,0.8115553872,0.22385000000000002,0.1159,0.19775,0.013343,-0.0,0.014000000000000002
7441,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3981946128,-0.0,-0.0,-0.0,-0.0,1.673,0.11320000000000001,0.11035,-0.0,0.398283,-0.0,0.5664446128,0.05115,0.11510000000000001,0.23825,0.0016570000000000005,-0.0,-0.0
7442,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2518053872,-0.0,-0.0,-0.0,-0.0,1.425,0.07579999999999999,0.11065,-0.0,0.251717,-0.0,0.38355538720000004,0.17985,0.0739,0.26175,0.010343,-0.0,0.010000000000000004
7443,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.418,-0.0,-0.0,-0.0,-0.0,0.812,0.043,0.363,-0.0,0.418,-0.0,0.643,0.363,0.043,0.275,0.0016570000000000005,-0.0,-0.0
7444,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3411946128,-0.0,-0.0,-0.0,-0.0,0.633,0.0412,0.26435,-0.0,0.341283,-0.0,0.4844446128,0.20514999999999997,0.0431,0.29525,-0.0,-0.0,-0.0
7445,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3108053872,-0.0,-0.0,-0.0,-0.0,0.505,0.0668,0.16665000000000002,-0.0,0.310717,-0.0,0.4845553872,0.22585000000000002,0.0649,0.29574999999999996,-0.0,-0.0,-0.0
7446,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.261,-0.0,-0.0,-0.0,-0.0,0.385,0.08,0.117,-0.0,0.261,-0.0,0.452,0.117,0.08,0.26,-0.0,-0.0,-0.0
7447,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1961946128,-0.0,-0.0,-0.0,-0.0,0.267,0.0852,0.07435,-0.0,0.196283,-0.0,0.3944446128,0.015149999999999997,0.0871,0.22425,-0.0,-0.0,-0.0
7448,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1158053872,-0.0,-0.0,-0.0,-0.0,0.19,0.0708,0.036649999999999995,-0.0,0.115717,-0.0,0.2795553872,0.11946999999999999,0.0689,0.21475,0.005343,-0.0,0.02362
7449,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0531946128,-0.0,-0.0,-0.0,-0.0,0.153,0.0332,0.01035,-0.0,0.053283,-0.0,0.1164446128,-0.0,0.0351,0.20925,-0.0,-0.0,-0.0
7450,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0328053872,-0.0,-0.0,-0.0,-0.0,0.163,0.021799999999999996,0.0076500000000000005,-0.0,0.032717,-0.0,0.0805553872,0.034,0.019899999999999998,0.21775,0.001,-0.0,0.016
7451,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.053,-0.0,-0.0,-0.0,-0.0,0.194,0.015,0.016,-0.0,0.053,-0.0,0.082,0.032,0.015,0.224,0.003,-0.0,0.016
7452,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.102,-0.0,-0.0,-0.0,-0.0,0.213,0.02,0.036,-0.0,0.102,-0.0,0.16199999999999998,0.05499999999999999,0.02,0.233,0.004,-0.0,0.019
7453,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1641946128,-0.0,-0.0,-0.0,-0.0,0.206,0.020200000000000003,0.07435,-0.0,0.164283,-0.0,0.2684446128,0.02053,0.0221,0.23025,0.0016570000000000005,-0.0,0.005380000000000003
7454,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.19880538720000002,-0.0,-0.0,-0.0,-0.0,0.173,0.030799999999999998,0.11565,-0.0,0.198717,-0.0,0.36855538720000003,0.22147,0.0289,0.22575,0.013343,-0.0,0.046619999999999995
7455,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.189,-0.0,-0.0,-0.0,-0.0,0.154,0.025,0.116,-0.0,0.189,-0.0,0.362,0.133,0.025,0.243,0.005,-0.0,0.017
7456,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1591946128,-0.0,-0.0,-0.0,-0.0,0.143,0.014199999999999999,0.10135,-0.0,0.159283,-0.0,0.3184446128,0.04214999999999999,0.0161,0.24825,-0.0,-0.0,-0.0
7457,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.137,-0.0,-0.0,-0.0,-0.0,0.127,0.014,0.09,-0.0,0.137,-0.0,0.29900000000000004,0.10038,0.014,0.258,0.0016570000000000005,-0.0,0.010380000000000002
7458,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1448053872,-0.0,-0.0,-0.0,-0.0,0.109,0.0158,0.07865,-0.0,0.14471699999999998,-0.0,0.3225553872,0.18247,0.013900000000000001,0.25775,0.010343,-0.0,0.04462
7459,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1541946128,-0.0,-0.0,-0.0,-0.0,0.094,0.009199999999999998,0.09635,-0.0,0.154283,-0.0,0.3224446128,0.050530000000000005,0.011099999999999999,0.26225000000000004,0.0046570000000000005,-0.0,0.013380000000000003
7460,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1518053872,-0.0,-0.0,-0.0,-0.0,0.116,0.019799999999999998,0.09865,-0.0,0.151717,-0.0,0.3355553872,0.26947,0.0179,0.26975,0.019343,-0.0,0.11162
7461,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.14419461279999998,-0.0,-0.0,-0.0,-0.0,0.187,0.017200000000000003,0.10435,-0.0,0.144283,-0.0,0.2704446128,0.15253,0.019100000000000002,0.25425000000000003,0.010657,-0.0,0.10738
7462,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.188,-0.0,-0.0,-0.0,-0.0,0.286,0.027,0.094,-0.0,0.188,-0.0,0.308,0.238,0.027,0.204,0.02,-0.0,0.144
7463,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2388053872,-0.0,-0.0,-0.0,-0.0,0.41,0.0318,0.051649999999999995,-0.0,0.23871699999999998,-0.0,0.3585553872,0.23647,0.0299,0.12775,0.057343,-0.0,0.12562
7464,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.269,-0.0,-0.0,-0.0,-0.0,0.565,0.023,0.03,-0.0,0.269,-0.0,0.385,0.115,0.023,0.084,0.08,-0.0,0.085
7465,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2721946128,-0.0,-0.0,-0.0,-0.0,0.47,0.0132,0.029349999999999998,-0.0,0.272283,-0.0,0.38944461280000003,0.0005299999999999992,0.0151,0.08225,0.120657,-0.0,0.030380000000000004
7466,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.336,-0.0,-0.0,-0.0,-0.0,0.366,0.014,0.035,-0.0,0.336,-0.0,0.484,0.067,0.014,0.091,0.188,-0.0,0.032
7467,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4418053872,-0.0,-0.0,-0.0,-0.0,0.281,0.013800000000000002,0.07665,-0.0,0.441717,-0.0,0.6525553872000001,0.19247,0.0119,0.058750000000000004,0.316343,-0.0,0.05662
7468,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4631946128,-0.0,-0.0,-0.0,-0.0,0.203,0.004200000000000001,0.14334999999999998,-0.0,0.463283,-0.0,0.6724446128,0.15152999999999997,0.0061,0.04025,0.559,-0.0,0.06738
7469,0.0,-0.0,-0.0,-0.0,0.08360000000000001,-0.0,0.3828053872,-0.0,-0.0,-0.0,-0.0,0.134,0.0108,0.16565000000000002,-0.0,0.38271700000000003,-0.0,0.5895553872,0.44347000000000003,0.0089,0.03975,0.7524,-0.0,0.21862
7470,0.0,-0.0,-0.0,-0.0,0.13460000000000005,-0.0,0.23619461279999998,-0.0,-0.0,-0.0,-0.0,0.082,0.0012000000000000003,0.10735,-0.0,0.236283,-0.0,0.3544446128,0.28653,0.0031000000000000003,0.03925,0.7524,-0.0,0.23838
7471,0.0,-0.0,-0.0,-0.0,0.06125699999999999,-0.0,0.105,-0.0,-0.0,-0.0,-0.0,0.064,0.005,0.041,-0.0,0.105,-0.0,0.16499999999999998,0.33299999999999996,0.005,0.047,0.7524,-0.0,0.292
7472,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.030716999999999998,-0.0,-0.0,-0.0,-0.0,0.078,0.0088,0.02065,-0.0,0.030716999999999998,-0.0,0.056,0.33347000000000004,0.0069,0.06475,0.6933429999999999,-0.0,0.25362
7473,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.004,-0.0,-0.0,-0.0,-0.0,0.092,0.007,0.01,-0.0,0.004,-0.0,0.0,0.12953,0.007,0.099,0.499,-0.0,0.129
7474,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00028300000000000027,-0.0,-0.0,-0.0,-0.0,0.096,0.0062,0.01535,-0.0,0.00028300000000000027,-0.0,0.0,-0.0,0.0081,0.12125,0.26665700000000003,-0.0,0.03438
7475,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0068053872,-0.0,-0.0,-0.0,-0.0,0.091,0.0168,0.01965,-0.0,0.006717,-0.0,0.0205553872,0.12247,0.0149,0.12975,0.123343,-0.0,0.04362
7476,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.028,-0.0,-0.0,-0.0,-0.0,0.083,0.017,0.056,-0.0,0.028,-0.0,0.037,0.08,0.017,0.173,0.089,-0.0,0.024
7477,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.049,-0.0,-0.0,-0.0,-0.0,0.069,0.025,0.108,-0.0,0.049,-0.0,0.069,0.151,0.025,0.222,0.11,-0.0,0.043
