,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
5556,-64.0,-42.844788464353684,0.0,-41.71963952502121,0.0,-688.6700577303129,-399.88883832254584,-43.0,-36.29993946731235,-67.91985645933015,0.0,-22.134768009768006
5557,-64.0,-27.431159420289852,0.0,-46.45678117048346,0.0,-732.9939120647248,-233.5725964131607,-43.0,-42.21700968523003,-71.2348484848485,0.0,-18.730616605616603
5558,-59.89980732177264,-18.079014785536522,0.0,-54.204796437659034,0.0,-708.3383425199569,-224.4910497572815,-43.0,-47.0021186440678,-77.48923444976076,0.0,-24.85912698412698
5559,-31.96917148362235,-17.181561996779386,0.0,-59.42963952502121,0.0,-640.7042680517799,-166.53005326321465,-32.229406130268195,-56.82960048426151,-80.4055023923445,0.0,-21.844169719169717
5560,-19.010918432883752,-19.861660079051383,0.0,-57.646310432569976,0.0,-548.6947141316074,-216.34809870550157,-19.049329501915707,-52.378934624697344,-83.33333333333333,0.0,-24.908424908424905
5561,-17.880539499036608,-25.158102766798418,0.0,-50.135708227311284,0.0,-422.1116504854369,-258.7479773462783,-17.916666666666664,-33.23849878934625,-72.96650717703349,0.0,-26.076007326007325
5562,-31.116249197174056,-39.85327916849656,0.0,-41.23193808312129,0.0,-340.1883964573894,-410.76060207659106,-30.98347701149425,-20.55538740920097,-66.32496012759171,0.0,-33.94032356532356
5563,-49.42838792549775,-54.877031181379,0.0,-41.45462256149279,0.0,-358.56796116504853,-507.3489751887809,-43.0,-16.053268765133176,-61.004784688995215,0.0,-36.454517704517706
5564,-64.0,-76.84746010832967,0.0,-45.286297709923666,0.0,-408.71937053290185,-674.0493527508089,-43.0,-18.651634382566588,-48.10885167464115,0.0,-38.01129426129425
5565,-64.0,-107.84145805884934,0.0,-45.71879134860051,0.0,-487.95268987702264,-750.0000000004213,-43.0,-23.84836561743342,-45.59130781499203,0.0,-34.63827838827839
5566,-64.0,-104.08245498462891,0.0,-50.06577184054284,0.0,-566.0656488500539,-750.0000000004213,-43.0,-28.94219128329298,-30.963716108452953,0.0,-25.60637973137973
5567,-64.0,-80.90070999853609,0.0,-70.88418575063614,0.0,-754.2310070291262,-691.2521069309599,-43.0,-33.00696125907991,-27.250000000000004,0.0,-25.76724664224664
5568,-64.0,-68.60854926072317,0.0,-124.8515691263783,0.0,-1245.658036677454,-552.2855987055016,-43.0,-34.88498789346248,-18.341307814992025,0.0,-16.216422466422465
5569,-64.0,-64.68525838091055,-94.34688648495586,-184.0,-48.801646048169175,-1870.0,-512.7848570658036,-43.0,-28.504842615012112,-15.151515151515152,0.0,-12.454212454212453
5570,-64.0,-71.37201727419118,0.0,-184.0,-210.60297655792772,-1788.9630139041117,-522.0367280204962,-43.0,-23.668280871670706,-10.76555023923445,0.0,-5.757478632478632
5571,-64.0,-74.73869126043039,0.0,-184.0,-81.72569963023678,-1863.8609624970584,-571.4923813376482,-43.0,-30.279963680387414,-3.8504784688995213,0.0,-6.875763125763124
5572,-64.0,-76.94554238032498,0.0,-159.08821034775235,0.0,-1795.361380798274,-583.0889293419632,-43.0,-46.307506053268774,-3.9872408293460926,0.0,-5.189255189255189
5573,-64.0,-66.45073927682623,0.0,-153.91857506361325,0.0,-1773.1715210355987,-501.1883090614886,-43.0,-51.96731234866829,-3.189792663476874,0.0,-3.632478632478632
5574,-64.0,-52.67018006148441,-226.71752267098177,-159.45076759966074,0.0,-1870.0,-397.54416127292336,-43.0,-44.76392251815981,-2.3923444976076556,0.0,-2.9838217338217334
5575,-64.0,-47.89602547211243,-254.00000000008623,-175.57251908396947,-64.81631913405019,-1870.0,-388.42999932578203,-43.0,-37.02027845036319,-4.5227272727272725,0.0,-4.670329670329671
5576,-64.0,-34.73828868394085,-254.00000000008623,-179.5017345207803,-25.293873542652303,-1870.0,-235.24684803128363,-43.0,-30.074152542372886,-0.6606858054226478,0.0,0.0
5577,-44.90687219010918,-15.79124579124579,0.0,-149.13910093299407,0.0,-1602.7130528586838,-120.6765776699029,-43.0,-27.269975786924945,-2.791068580542265,0.0,-1.4270451770451769
5578,-31.013487475915223,-11.213255745864442,0.0,-113.99699321458864,0.0,-1068.9235636634305,-115.41102009169363,-30.88050766283525,-25.49485472154964,-6.516347687400319,0.0,-3.9723748473748466
5579,-24.683365446371223,-13.013065436978481,0.0,-81.2786641221374,0.0,-697.691862442287,-74.707136596548,-24.928879310344826,-27.604418886198555,-6.641547049441786,0.0,0.0
5580,-20.65510597302505,-14.074806031327768,0.0,-51.01357082273113,0.0,-422.1116504854369,-115.74079692556633,-20.69683908045977,-27.16707021791768,-14.752791068580542,0.0,-4.200702075702076
5581,-17.0378933847142,-12.488325281803542,0.0,-28.746781170483462,0.0,-234.78656258468177,-136.06737122437968,-16.876676245210728,-28.273305084745765,-19.674242424242426,0.0,-7.994047619047619
5582,-13.687861271676299,-10.61004977309325,0.0,-17.58485581000848,0.0,-137.90221842934196,-69.77135585221141,-13.911159003831417,-27.089891041162236,-18.603269537480063,0.0,-4.589896214896215
5583,-11.694283879254977,-9.447774849948763,0.0,-10.1165860899067,0.0,-96.09993906796116,-120.48450984358145,-11.522270114942529,-26.93553268765133,-24.060207336523128,0.0,-10.458943833943833
5584,-7.727681438664098,-7.667581613233786,0.0,-4.709537743850721,0.0,-44.099629432578205,-52.37653384573893,-7.938936781609195,-27.913135593220346,-22.989234449760765,0.0,-6.146672771672772
5585,-5.117533718689788,-6.01489533011272,0.0,-2.508443596268024,0.0,-38.10371468824164,-99.82815871089534,-4.932231800766283,-27.14134382566586,-28.84489633173844,0.0,-12.145451770451768
5586,-3.0828516377649327,-3.5800029278290144,0.0,-2.1458863443596266,0.0,-24.207119741100325,-53.63403451995684,-3.089080459770115,-25.211864406779664,-27.113237639553432,0.0,-9.729853479853478
5587,-1.6647398843930639,-2.61634460547504,0.0,-1.6857888040712468,0.0,-12.327784772384033,-19.761242583603018,-1.8637452107279695,-20.401029055690078,-24.185406698564595,0.0,-7.833180708180707
