,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
8541,0.0,0.001,0.004,0.004,0.003,0.039,0.0,0.04
8542,0.0,0.001,0.005,0.004,0.005,0.029,0.0,0.047
8543,0.0,0.002,0.006,0.005,0.006,0.023,0.0,0.058
8544,0.0,0.003,0.009,0.007,0.006,0.018,0.0,0.078
8545,0.0,0.008,0.011,0.01,0.006,0.016,0.0,0.091
8546,0.0,0.011,0.012,0.014,0.007,0.015,0.0,0.093
8547,0.0,0.014,0.013,0.016,0.004,0.017,0.0,0.089
8548,0.0,0.015,0.012,0.017,0.004,0.011,0.0,0.075
8549,0.0,0.013,0.011,0.016,0.003,0.01,0.0,0.057
8550,0.0,0.012,0.011,0.019,0.003,0.007,0.0,0.038
8551,0.0,0.01,0.012,0.023,0.003,0.005,0.0,0.028
8552,0.0,0.008,0.013,0.025,0.003,0.005,0.0,0.02
8553,0.0,0.007,0.02,0.025,0.003,0.004,0.0,0.013
8554,0.0,0.007,0.018,0.021,0.003,0.004,0.0,0.015
8555,0.0,0.007,0.013,0.015,0.002,0.007,0.0,0.014
8556,0.0,0.008,0.011,0.012,0.002,0.013,0.0,0.02
8557,0.0,0.009,0.011,0.011,0.002,0.023,0.0,0.024
8558,0.0,0.009,0.01,0.01,0.002,0.032,0.0,0.023
8559,0.0,0.006,0.011,0.008,0.002,0.039,0.0,0.024
8560,0.0,0.003,0.009,0.006,0.001,0.038,0.0,0.025
8561,0.0,0.002,0.009,0.005,0.001,0.046,0.0,0.027
8562,0.0,0.002,0.008,0.005,0.001,0.058,0.0,0.028
8563,0.0,0.001,0.008,0.005,0.002,0.06,0.0,0.032
8564,0.0,0.001,0.007,0.004,0.002,0.053,0.0,0.036
8565,0.0,0.001,0.006,0.004,0.003,0.044,0.0,0.038
8566,0.0,0.001,0.006,0.004,0.003,0.033,0.0,0.041
8567,0.0,0.001,0.008,0.004,0.002,0.03,0.0,0.041
8568,0.0,0.002,0.009,0.004,0.002,0.024,0.0,0.044
8569,0.0,0.002,0.009,0.006,0.002,0.017,0.0,0.038
8570,0.0,0.003,0.011,0.008,0.003,0.012,0.0,0.026
8571,0.0,0.004,0.012,0.011,0.003,0.009,0.0,0.019
8572,0.0,0.005,0.013,0.013,0.004,0.008,0.0,0.012
8573,0.0,0.005,0.014,0.012,0.005,0.007,0.0,0.01
8574,0.0,0.003,0.009,0.009,0.004,0.007,0.0,0.009
8575,0.0,0.001,0.006,0.003,0.003,0.005,0.0,0.007
8576,0.0,0.0,0.002,0.001,0.002,0.006,0.0,0.006
8577,0.0,0.0,0.005,0.002,0.001,0.007,0.0,0.012
8578,0.0,0.0,0.004,0.002,0.001,0.009,0.0,0.014
8579,0.0,0.0,0.002,0.001,0.001,0.012,0.0,0.02
8580,0.0,0.0,0.001,0.0,0.0,0.012,0.0,0.019
8581,0.0,0.0,0.001,0.0,0.0,0.014,0.0,0.019
8582,0.0,0.0,0.001,0.0,0.0,0.017,0.0,0.019
8583,0.0,0.0,0.001,0.0,0.001,0.02,0.0,0.019
8584,0.0,0.0,0.001,0.0,0.0,0.026,0.0,0.017
8585,0.0,0.0,0.001,0.001,0.001,0.036,0.0,0.018
8586,0.0,0.0,0.001,0.0,0.001,0.049,0.0,0.018
8587,0.0,0.0,0.001,0.0,0.001,0.052,0.0,0.017
8588,0.0,0.0,0.001,0.001,0.003,0.05,0.0,0.013
8589,0.0,0.0,0.002,0.002,0.005,0.035,0.0,0.011
8590,0.0,0.0,0.004,0.004,0.007,0.026,0.0,0.011
8591,0.0,0.0,0.007,0.006,0.009,0.027,0.0,0.011
8592,0.0,0.0,0.014,0.01,0.009,0.03,0.0,0.012
8593,0.0,0.001,0.029,0.017,0.011,0.038,0.0,0.013
8594,0.0,0.0,0.037,0.022,0.012,0.04,0.0,0.01
8595,0.0,0.001,0.044,0.025,0.012,0.035,0.0,0.005
8596,0.0,0.001,0.046,0.026,0.012,0.03,0.0,0.004
8597,0.0,0.001,0.042,0.021,0.01,0.026,0.0,0.002
8598,0.0,0.0,0.037,0.018,0.008,0.02,0.0,0.001
8599,0.0,0.0,0.026,0.012,0.005,0.016,0.0,0.001
8600,0.0,0.001,0.021,0.01,0.004,0.014,0.0,0.0
8601,0.0,0.0,0.028,0.012,0.004,0.014,0.0,0.001
8602,0.0,0.0,0.028,0.013,0.005,0.015,0.0,0.003
8603,0.0,0.0,0.022,0.011,0.004,0.015,0.0,0.005
8604,0.0,0.0,0.022,0.009,0.002,0.014,0.0,0.007
8605,0.0,0.0,0.02,0.009,0.001,0.019,0.0,0.008
8606,0.0,0.001,0.02,0.009,0.001,0.023,0.0,0.008
8607,0.0,0.001,0.018,0.009,0.001,0.029,0.0,0.007
8608,0.0,0.0,0.014,0.006,0.001,0.027,0.0,0.006
8609,0.0,0.0,0.01,0.005,0.001,0.026,0.0,0.007
8610,0.0,0.0,0.011,0.005,0.001,0.029,0.0,0.009
8611,0.0,0.0,0.011,0.006,0.001,0.03,0.0,0.012
8612,0.0,0.0,0.01,0.006,0.002,0.028,0.0,0.014
