,Gen-Load Shed,Gen-Gas New,Gen-Adama,Gen-Ashegoda,Gen-Ayisha,Gen-Wind New,Gen-Solar New I,Gen-Solar New II,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrOut-Gibe River,RvrOut-Awash River,RvrOut-Melka Wakena River,RvrIn-Genale River,RvrOut-Genale River,RvrIn-Tekeze River,RvrOut-Tekeze River,RvrOut-Blue Nile River,Gen-Export_potential
6821,2191.3665152560266,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.002,0.002,0.021,0.01,0.019,0.119,0.0,-0.019,-0.119,0.071,-0.102,0.001,-0.001,-0.004,-0.0
6822,2339.0238392922847,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.001,0.001,0.011,0.007,0.028,0.132,0.0,-0.028,-0.132,0.065,-0.083,-0.0,0.0,-0.002,-0.0
6823,2250.797077338997,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,0.001,0.008,0.007,0.039,0.134,-0.015000000000000013,-0.039,-0.134,0.07,-0.07,-0.0,0.0,-0.001,-0.0
6824,2233.509305258132,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,0.001,0.009,0.009,0.044,0.145,-0.018000000000000002,-0.044,-0.145,0.113,-0.113,-0.0,0.0,-0.001,-0.0
6825,2166.297794623216,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,0.001,0.033,0.025,0.054,0.208,-0.057999999999999996,-0.054,-0.208,0.142,-0.142,0.001,-0.001,-0.001,-0.0
6826,2089.248446466877,100.0,204.0,120.0,80.0,1.0,1.0,1.0,-0.0,0.004,0.083,0.061,0.065,0.464,-0.144,-0.065,-0.464,0.213,-0.213,0.002,-0.002,-0.004,-0.0
6827,2020.5273096675335,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.002,0.01,0.108,0.093,0.065,0.773,0.0,-0.065,-0.773,0.302,-0.503,0.008,-0.008,-0.012,-0.0
6828,1918.0385706756801,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.008,0.017,0.148,0.124,0.07,0.959,0.0,-0.07,-0.959,0.364,-0.636,0.014,-0.014,-0.025,-0.0
6829,1848.6551714264413,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.014,0.057,0.182,0.151,0.076,0.93,0.0,-0.076,-0.93,0.348,-0.681,0.021,-0.021,-0.07100000000000001,-0.0
6830,1820.1529957793707,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.022,0.111,0.202,0.177,0.078,0.86,0.0,-0.078,-0.86,0.307,-0.6859999999999999,0.034,-0.034,-0.133,-0.0
6831,1867.213602962528,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.024,0.148,0.189,0.174,0.081,0.946,0.0,-0.081,-0.946,0.279,-0.642,0.042,-0.042,-0.172,-0.0
6832,1965.0590579354025,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.037,0.132,0.174,0.14,0.085,1.085,0.0,-0.085,-1.085,0.277,-0.591,0.046,-0.046,-0.169,-0.0
6833,1999.2035547791927,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.073,0.11,0.234,0.152,0.101,1.232,0.0,-0.101,-1.232,0.314,-0.7000000000000001,0.049,-0.049,-0.183,-0.0
6834,2121.2009198077953,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.164,0.028,0.326,0.126,0.1,1.194,0.0,-0.1,-1.194,0.312,-0.764,0.069,-0.069,-0.192,-0.0
6835,1947.433127066667,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.246,0.018,0.463,0.211,0.114,1.181,-0.6739999999999999,-0.114,-1.181,0.309,-0.309,0.083,-0.083,-0.264,-0.0
6836,1599.4451388114846,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.312,0.022,0.521,0.384,0.11,1.077,-0.905,-0.11,-1.077,0.34,-0.34,0.085,-0.085,-0.334,-0.0
6837,1382.162101051283,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.376,0.027,0.492,0.47,0.096,1.029,-0.9620000000000001,-0.096,-1.029,0.344,-0.344,0.073,-0.073,-0.403,-0.0
6838,1264.4659258765462,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.319,0.025,0.479,0.501,0.094,0.895,-0.98,-0.094,-0.895,0.327,-0.327,0.055,-0.055,-0.34400000000000003,-0.0
6839,1174.4541144749683,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.324,0.018,0.511,0.445,0.103,0.767,-0.956,-0.103,-0.767,0.326,-0.326,0.052,-0.052,-0.342,-0.0
6840,1133.2522586647865,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.296,0.011,0.536,0.362,0.12,0.75,-0.898,-0.12,-0.75,0.406,-0.406,0.044,-0.044,-0.307,-0.0
6841,1203.8820075263554,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.291,0.009,0.441,0.293,0.123,0.793,-0.734,-0.123,-0.793,0.496,-0.496,0.037,-0.037,-0.3,-0.0
6842,1358.2143195329604,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.222,0.005,0.305,0.184,0.115,0.905,0.0,-0.115,-0.905,0.516,-1.005,0.031,-0.031,-0.227,-0.0
6843,1568.8216568769726,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.251,0.002,0.076,0.043,0.049,0.435,0.0,-0.049,-0.435,0.25,-0.369,0.225,-0.225,-0.253,-0.0
6844,1764.6396926850225,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.149,0.001,0.029,0.02,0.037,0.433,0.0,-0.037,-0.433,0.175,-0.22399999999999998,0.26,-0.26,-0.15,-0.0
6845,2084.860368986322,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.084,0.001,0.014,0.01,0.027,0.358,0.0,-0.027,-0.358,0.104,-0.128,0.267,-0.267,-0.085,-0.0
6846,2246.673853040416,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.052,0.001,0.011,0.006,0.03,0.276,0.0,-0.03,-0.276,0.066,-0.083,0.239,-0.239,-0.053,-0.0
6847,2208.0155286747836,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.035,-0.0,0.028,0.006,0.048,0.217,0.0,-0.048,-0.217,0.067,-0.101,0.168,-0.168,-0.035,-0.0
6848,2160.7291165372394,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.035,-0.0,0.049,0.008,0.07,0.194,0.0,-0.07,-0.194,0.11,-0.167,0.282,-0.282,-0.035,-0.0
6849,2043.0407278069551,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.054,0.001,0.051,0.008,0.088,0.21,0.0,-0.088,-0.21,0.155,-0.214,0.496,-0.496,-0.055,-0.0
6850,1975.1107797610823,100.0,204.0,120.0,80.0,1.0000000000000036,1.0,1.0,0.071,0.01,0.079,0.022,0.11,0.237,0.0,-0.11,-0.237,0.17,-0.271,0.504,-0.504,-0.08099999999999999,-0.0
6851,1875.907176776665,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.113,0.021,0.14,0.045,0.13,0.255,0.0,-0.13,-0.255,0.151,-0.336,0.473,-0.473,-0.134,-0.0
6852,1693.8229081831369,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.18,0.036,0.241,0.087,0.147,0.261,0.0,-0.147,-0.261,0.12,-0.44799999999999995,0.491,-0.491,-0.216,-0.0
6853,1452.5690864275955,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.254,0.057,0.419,0.171,0.163,0.269,-0.5900000000000001,-0.163,-0.269,0.105,-0.105,0.56,-0.56,-0.311,-0.0
6854,1127.342911962623,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.434,0.078,0.659,0.278,0.153,0.256,-0.937,-0.153,-0.256,0.089,-0.089,0.697,-0.697,-0.512,-0.0
6855,887.3496804214591,100.0,204.0,120.0,80.0,1.0000000000000107,1.0,1.0,0.651,0.089,0.887,0.386,0.115,0.229,-1.273,-0.115,-0.229,0.072,-0.072,0.799,-0.799,-0.74,-0.0
6856,753.1621993576317,100.0,204.0,120.0,80.0,1.000000000000015,1.0,1.0,0.877,0.135,1.001,0.472,0.076,0.187,-1.4729999999999999,-0.076,-0.187,0.069,-0.069,0.772,-0.772,-1.012,-0.0
6857,753.369856660899,100.0,204.0,120.0,80.0,1.0,1.0,1.0,1.127,0.204,0.987,0.486,0.052,0.148,-1.473,-0.052,-0.148,0.081,-0.081,0.742,-0.742,-1.331,-0.0
6858,866.2113798055285,100.0,204.0,120.0,80.0,1.0,1.0,1.0,1.252,0.314,0.933,0.46,0.033,0.107,-1.393,-0.033,-0.107,0.087,-0.087,0.686,-0.686,-1.566,-0.0
6859,820.8805014747626,100.0,204.0,120.0,80.0,1.0,1.0,1.0,1.226,0.497,0.951,0.45,0.024,0.082,-1.4009999999999998,-0.024,-0.082,0.088,-0.088,0.523,-0.523,-1.7229999999999999,-0.0
6860,571.4074145800519,100.0,204.0,120.0,80.0,1.0,1.0,1.0,1.102,0.776,0.991,0.544,0.018,0.071,-1.5350000000000001,-0.018,-0.071,0.089,-0.089,0.367,-0.367,-1.8780000000000001,-0.0
6861,435.8495665786519,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.834,1.075,0.928,0.63,0.015,0.063,-1.5580000000000003,-0.015,-0.063,0.089,-0.089,0.184,-0.184,-1.9089999999999998,-0.0
6862,266.53419551207816,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.777,1.274,0.856,0.641,0.012,0.065,-1.4969999999999999,-0.012,-0.065,0.106,-0.106,0.093,-0.093,-2.051,-0.0
6863,272.0376350863536,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.702,1.282,0.785,0.61,0.006,0.06,-1.395,-0.006,-0.06,0.128,-0.128,0.042,-0.042,-1.984,-0.0
6864,245.25097098314706,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.836,1.109,0.768,0.554,0.004,0.056,-1.322,-0.004,-0.056,0.134,-0.134,0.049,-0.049,-1.9449999999999998,-0.0
6865,318.29842945107697,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.918,0.684,0.825,0.489,0.003,0.053,-1.314,-0.003,-0.053,0.124,-0.124,0.093,-0.093,-1.602,-0.0
6866,603.4408885604606,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.658,0.365,0.815,0.411,0.003,0.043,-1.2259999999999998,-0.003,-0.043,0.102,-0.102,0.081,-0.081,-1.0230000000000001,-0.0
6867,998.5142617954399,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.317,0.243,0.674,0.313,0.002,0.045,-0.987,-0.002,-0.045,0.088,-0.088,0.04,-0.04,-0.56,-0.0
6868,1380.3702239502231,100.0,204.0,120.0,80.0,1.0,1.0,1.0,0.176,0.216,0.475,0.211,0.002,0.048,-0.6859999999999999,-0.002,-0.048,0.074,-0.074,0.026,-0.026,-0.392,-0.0
