,Ethiopia Demand,Export Demand
200,2228.988118,422.8988118
201,2267.674372,426.7674372
202,2282.119914,428.2119914
203,2260.084674,426.0084674
204,2234.583912,423.4583912
205,2194.289386,419.4289386
206,2153.809631,415.3809631
207,2143.381002,414.3381002
208,2139.253963,413.9253963
209,2165.101229,416.5101229
210,2222.077115,422.2077115
211,2339.848071,433.9848071
212,2294.736169,429.4736169
213,2138.105088,413.8105088
214,2023.71873,402.371873
215,1926.950849,392.6950849
216,1924.308502,392.4308502
217,1884.188135,388.4188135
218,1863.42058,386.342058
219,1864.497597,386.4497597
220,1885.739436,388.5739436
221,1920.828189,392.0828189
222,2014.893697,401.4893697
223,2126.248165,412.6248165
224,2213.037462,421.3037462
225,2273.300417,427.3300417
226,2268.824297,426.8824297
227,2262.819111,426.2819111
228,2246.780659,424.6780659
229,2216.676761,421.6676761
230,2174.027035,417.4027035
231,2155.979698,415.5979698
232,2167.152868,416.7152868
233,2203.763148,420.3763148
234,2257.069866,425.7069866
235,2370.438659,437.0438659
236,2324.471137,432.4471137
237,2160.388063,416.0388063
238,2029.689657,402.9689657
239,1934.698673,393.4698673
240,1909.41301,390.941301
241,1892.067079,389.2067079
242,1897.227619,389.7227619
243,1916.207493,391.6207493
244,1994.553858,399.4553858
245,2095.574076,409.5574076
246,2197.133662,419.7133662
247,2305.113934,430.5113934
248,2412.958887,441.2958887
249,2455.034223,445.5034223
250,2480.811635,448.0811635
251,2479.315682,447.9315682
252,2469.657646,446.9657646
253,2466.369623,446.6369623
254,2456.963044,445.6963044
255,2461.161559,446.1161559
256,2466.520879,446.6520879
257,2448.787791,444.8787791
258,2479.021855,447.9021855
259,2584.591579,458.4591579
260,2518.689887,451.8689887
261,2344.49854,434.449854
262,2194.665187,419.4665187
263,2101.78873,410.178873
264,2011.61016,401.161016
265,1981.343268,398.1343268
266,1976.191508,397.6191508
267,1997.140187,399.7140187
268,2052.141638,405.2141638
269,2167.326168,416.7326168
270,2258.628611,425.8628611
271,2359.372752,435.9372752
272,2464.434504,446.4434504
273,2484.415434,448.4415434
274,2484.849638,448.4849638
275,2462.687,446.2687
276,2439.148936,443.9148936
277,2437.657183,443.7657183
278,2438.364029,443.8364029
279,2463.371706,446.3371706
280,2492.904459,449.2904459
281,2502.064735,450.2064735
282,2498.318555,449.8318555
283,2601.640819,460.1640819
284,2531.574489,453.1574489
285,2322.309563,432.2309563
286,2162.633137,416.2633137
287,2080.491542,408.0491542
288,2025.99415,402.599415
289,1994.303355,399.4303355
290,1974.85769,397.485769
291,1995.864009,399.5864009
292,2050.908593,405.0908593
293,2135.086749,413.5086749
294,2212.130119,421.2130119
295,2302.59221,430.259221
296,2399.684265,439.9684265
297,2463.153841,446.3153841
298,2492.762078,449.2762078
299,2502.449125,450.2449125
300,2476.42875,447.642875
301,2453.481108,445.3481108
302,2453.243203,445.3243203
