,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
4764,-4.829800899165061,-5.737812911725955,-30.76321467098166,-1.4631043256997456,-0.0,0.0,-48.19815264293419,-4.83955938697318,-1.749394673123487,-8.373205741626796,0.0,-2.0757020757020754
4765,-6.062941554271034,-5.100278143756404,-41.8581445523193,-2.340966921119593,-0.0,0.0,-43.84944714131606,-6.075191570881225,-2.2639225181598066,-8.373205741626796,0.0,-2.205433455433455
4766,-6.679511881824021,-4.904113599765774,-46.39697950377562,-3.023748939779474,-0.0,0.0,-45.29901564185544,-6.693007662835249,-2.88135593220339,-6.778309409888358,0.0,-3.2432844932844933
4767,-6.782273603082852,-4.266578831796222,-40.849514563106794,-2.7311280746395252,-0.0,0.0,-40.22552588996763,-6.795977011494253,-3.087167070217918,-5.18341307814992,0.0,-3.113553113553113
4768,-6.57675016056519,-3.334797247840726,-30.76321467098166,-1.9508057675996608,-0.0,0.0,-29.71615426105717,-6.590038314176245,-3.190072639225182,-4.385964912280702,0.0,-1.816239316239316
4769,-6.371226718047527,-3.0405504318547796,-24.207119741100325,-1.3655640373197626,-0.0,0.0,-25.36744875943905,-6.384099616858237,-3.292978208232446,-3.588516746411483,0.0,-1.0378510378510377
4770,-7.912652536929993,-2.403015663885229,-22.189859762675294,-1.1704834605597965,-0.0,0.0,-19.20678263214671,-7.928639846743295,-2.9842615012106544,-3.588516746411483,0.0,-0.5189255189255189
4771,-18.08606294155427,-2.1087688478992823,-22.189859762675297,-0.8778625954198472,-0.0,0.0,-16.670037756202802,-18.122605363984672,-2.3668280871670704,-3.9872408293460926,0.0,-0.38919413919413914
4772,-46.34553628773282,-1.9126043039086515,-33.284789644012946,-0.7803223070398644,-0.0,0.0,-15.22046925566343,-43.0,-1.749394673123487,-5.18341307814992,0.0,-0.38919413919413914
4773,-64.0,-1.9126043039086515,-81.69902912621359,-1.1704834605597965,-0.0,0.0,-16.30764563106796,-43.0,-1.337772397094431,-9.968102073365232,0.0,-0.7783882783882783
4774,-64.0,-1.8635631679109939,-158.85922330097088,-2.536047497879559,-0.0,0.0,-21.74352750809061,-42.99999999999999,-1.2348668280871673,-22.32854864433812,0.0,-2.8540903540903537
4775,-64.0,-1.9126043039086515,-234.00215749730313,-6.145038167938932,-0.0,0.0,-38.05117313915857,-43.0,-1.2348668280871673,-34.688995215311,0.0,-8.562271062271062
4776,-64.0,-2.059727711901625,0.0,-11.607294317217981,-0.0,-274.3473570658037,-80.08865965480042,-43.0,-1.0290556900726393,-35.48644338118022,0.0,-23.22191697191697
4777,-40.48811817597945,-2.6972624798711755,0.0,-15.313825275657337,-0.0,-282.9207119741101,-168.51233818770223,-40.56992337164751,-0.7203389830508475,-30.303030303030305,0.0,-53.189865689865684
4778,-19.73025048169557,-3.5800029278290144,0.0,-17.849872773536894,-0.0,-283.42502696871634,-309.48287486515636,-19.770114942528735,-0.41162227602905577,-25.518341307814993,-10.795463025147379,-84.99999999999999
4779,-6.8850353243416835,-3.0405504318547796,-251.14886731391584,-17.849872773536894,-0.0,0.0,-470.0225862998921,-6.898946360153257,-0.20581113801452788,-22.72727272727273,-49.75524214610851,-84.99999999999999
4780,-2.363519588953115,-1.3241106719367588,-203.23894282632148,-15.996607294317219,-0.0,0.0,-522.2070523193095,-2.368295019157088,-0.10290556900726394,-19.138755980861244,-65.1160361167077,-84.99999999999999
4781,-0.7193320488118177,-0.6865759039672082,-157.85059331175836,-13.46055979643766,-0.0,0.0,-297.1615426105717,-0.7207854406130269,-0.10290556900726394,-10.36682615629984,-12.940825311543918,-84.99999999999999
4782,-0.2055234425176622,-0.8827404479578391,-110.94929881337649,-9.656488549618322,-0.0,0.0,-79.36387540453073,-0.20593869731800765,-0.10290556900726394,-3.189792663476874,0.0,-26.076007326007325
4783,-0.2055234425176622,-1.4221929439320744,-77.66450916936354,-6.242578456318915,-0.0,0.0,-31.890507011866227,-0.20593869731800765,-0.0,-3.588516746411483,0.0,-7.654151404151403
4784,-0.5138086062941555,-2.059727711901625,-51.44012944983819,-3.2188295165394405,-0.0,0.0,-30.44093851132686,-0.5148467432950191,-0.10290556900726394,-4.784688995215311,0.0,-5.448717948717949
4785,-1.7469492614001285,-2.5010979358805443,-36.31067961165049,-1.5606446140797288,-0.0,0.0,-36.6016046386192,-1.7504789272030652,-0.20581113801452788,-6.778309409888358,0.0,-6.486568986568987
4786,-2.363519588953115,-3.2857561118430683,-31.771844660194173,-1.2680237489397794,-0.0,0.0,-48.19815264293419,-2.368295019157088,-0.3087167070217918,-9.968102073365232,0.0,-8.562271062271062
4787,-2.9800899165061017,-4.217537695798565,-37.319309600862994,-1.7557251908396945,-0.0,0.0,-64.1434061488673,-2.986111111111111,-0.41162227602905577,-13.955342902711326,0.0,-11.805555555555554
4788,-4.007707129094412,-4.7569901917728,-51.44012944983818,-2.926208651399491,-0.0,0.0,-76.46473840345199,-4.015804597701149,-0.7203389830508475,-17.942583732057418,0.0,-14.789377289377288
4789,-4.829800899165061,-4.413702239789195,-60.013484358144545,-3.9991518235793047,-0.0,0.0,-78.63909115426104,-4.83955938697318,-1.0290556900726393,-21.5311004784689,0.0,-16.475885225885225
4790,-5.754656390494541,-3.776167471819645,-58.500539374325776,-4.194232400339271,-0.0,0.0,-71.02885652642934,-5.766283524904215,-1.337772397094431,-21.13237639553429,0.0,-15.438034188034186
4791,-6.8850353243416835,-3.0405504318547796,-56.48327939590075,-3.8040712468193387,-0.0,0.0,-61.6066612729234,-6.898946360153257,-1.543583535108959,-18.341307814992025,0.0,-14.01098901098901
4792,-9.45407835581246,-2.5010979358805443,-54.46601941747573,-3.1212892281594575,-0.0,0.0,-55.08360302049621,-9.473180076628353,-1.440677966101695,-16.347687400318982,0.0,-13.102869352869352
4793,-15.722543352601155,-2.403015663885229,-58.500539374325776,-2.536047497879559,-0.0,0.0,-58.34513214670981,-15.754310344827585,-1.543583535108959,-15.550239234449762,0.0,-14.529914529914528
